CITY,NAME,STATE,COUNTY,ZIP
ENOREE,1,SC,LAURENS,29335
ENTERPRISE,4,['AL' 'OR' 'KS'],['COFFEE' 'WALLOWA' 'DICKINSON'],[36330 97828 67441]
ENUMCLAW,2,WA,KING,98022
EPHRATA,27,['PA' 'WA'],['LANCASTER' 'GRANT'],[17522 98823]
EPPING,1,NH,ROCKINGHAM,3042
EPSOM,3,NH,MERRIMACK,3234
EPWORTH,1,IA,DUBUQUE,52045
EQUALITY,1,IL,GALLATIN,62934
ERDA,1,UT,TOOELE,84074
ERDENHEIM,1,PA,MONTGOMERY,19038
ERIAL,1,NJ,CAMDEN,8081
ERIE,31,['PA' 'CO' 'MI'],['ERIE' 'WELD' 'MONROE'],"[16505 16509 80516 48133 16508 16501 16506 16507 16503 16510 16502 16504
 16511]"
ERLANGER,5,KY,['BOONE' 'KENTON'],41018
ERWIN,2,NC,HARNETT,28339
ESCALANTE,1,UT,GARFIELD,84726
ESCANABA,2,MI,DELTA,49829
ESCONDIDO,11,CA,SAN DIEGO,[92027 92026 92025]
ESPANOLA,5,NM,['RIO ARRIBA' 'SANTA FE'],87532
ESSEX,3,['NY' 'MD'],['ESSEX' 'BALTIMORE'],[12936 21221]
ESSEX JUNCTION,2,VT,CHITTENDEN,5452
ESSEXVILLE,1,MI,BAY,48732
ESTANCIA,1,NM,TORRANCE,87016
ESTELLINE,1,SD,HAMLIN,57234
ESTES PARK,1,CO,LARIMER,80517
ESTILL,1,SC,HAMPTON,29918
ETHRIDGE,7,TN,LAWRENCE,38456
ETNA,2,['NH' 'OH'],['GRAFTON' 'LICKING'],[ 3750 43062]
ETNA GREEN,2,IN,KOSCIUSKO,46524
ETTRICK,1,WI,TREMPEALEAU,54627
EUCHA,1,OK,DELAWARE,74342
EUCLID,3,OH,CUYAHOGA,[44132 44143 44119]
EUDORA,1,AR,CHICOT,71640
EUFAULA,2,AL,BARBOUR,36027
EUGENE,31,['OR' 'MO'],['LANE' 'MILLER'],[97402 97403 97401 97405 65032 97404]
EULESS,1,TX,TARRANT,76039
EUNICE,2,['LA' 'NM'],['ST. LANDRY' 'LEA'],[70535 88231]
EUREKA,9,['CA' 'MO' 'IL' 'MT' 'KS'],['HUMBOLDT' 'ST. LOUIS' 'WOODFORD' 'LINCOLN' 'GREENWOOD'],[95503 95501 63025 61530 59917 67045]
EUREKA SPRINGS,2,AR,CARROLL,72632
EUSTIS,3,FL,LAKE,[32726 32736]
EUTAW,2,AL,GREENE,35462
EVANS,1,GA,COLUMBIA,30809
EVANSTON,8,IL,COOK,[60201 60202 60203]
EVANSVILLE,17,['IN' 'IL'],['VANDERBURGH' 'RANDOLPH'],[47714 47720 47712 47715 47710 62242 47711]
EVART,1,MI,OSCEOLA,49631
EVERETT,19,['WA' 'MA' 'PA'],['SNOHOMISH' 'MIDDLESEX' 'BEDFORD'],[98208  2149 98201 98203 98204 15537]
EVERGREEN,6,['CO' 'AL'],['JEFFERSON' 'CONECUH'],[80439 36401]
EVERGREEN PARK,3,IL,COOK,60805
EWA BEACH,4,HI,HONOLULU,96706
EWING,6,['IL' 'NJ'],['FRANKLIN' 'MERCER'],[62836  8628  8618  8638]
EXCELSIOR,2,MN,HENNEPIN,55331
EXETER,7,['RI' 'CA' 'NH' 'PA'],['WASHINGTON' 'TULARE' 'ROCKINGHAM' 'LUZERNE'],[ 2822 93221  3833  3856 18643]
EXMORE,2,VA,NORTHAMPTON,23350
EXTON,9,PA,CHESTER,19341
FAIR HAVEN,2,['NJ' 'MI'],['MONMOUTH' 'ST. CLAIR'],[ 7704 48023]
FAIR LAWN,6,NJ,BERGEN,7410
FAIR OAKS,7,CA,SACRAMENTO,95628
FAIR PLAY,1,SC,OCONEE,29643
FAIRBANKS,9,AK,FAIRBANKS NORTH STAR,[99701 99712 99709]
FAIRBORN,4,OH,['GREENE' 'CLARK'],45324
FAIRBURN,6,GA,FULTON,30213
FAIRCHANCE,1,PA,FAYETTE,15436
FAIRCHILD,1,WI,EAU CLAIRE,54741
FAIRFAC,1,CA,MARIN,94930
FAIRFAX,20,['VA' 'MN' 'VT' 'CA'],['FAIRFAX' 'RENVILLE' 'FRANKLIN' 'MARIN'],[22030 55332  5454 22031 94930 22033]
FAIRFAX STATION,1,VA,FAIRFAX,22039
FAIRFIELD,32,['CT' 'CA' 'AL' 'IA' 'ME' 'NJ' 'OH' 'MT'],['FAIRFIELD' 'SOLANO' 'JEFFERSON' 'SOMERSET' 'ESSEX' 'BUTLER' 'TETON'],[ 6825  6824 94534 35064 94533 52556  4937  7004 45011 45014 59436]
FAIRHAVEN,1,MA,BRISTOL,2719
FAIRHOPE,2,AL,BALDWIN,36532
FAIRLAWN,3,OH,SUMMIT,44333
FAIRLESS HILLS,5,PA,BUCKS,19030
FAIRMONT,5,['WV' 'MN' 'NC'],['MARION' 'MARTIN' 'ROBESON'],[26554 56031 28340]
FAIRPORT,1,NY,MONROE,14450
FAIRVIEW,2,['NJ' 'PA'],['BERGEN' 'ERIE'],[ 7022 16415]
FAIRVIEW HEIGHTS,4,IL,ST. CLAIR,62208
FAIRVIEW PARK,3,OH,CUYAHOGA,44126
FALCON,1,MO,LACLEDE,65470
FALL CITY,1,WA,KING,98024
FALL RIVER,12,MA,BRISTOL,[2720 2724 2721 2723]
FALLBROOK,6,CA,SAN DIEGO,92028
FALLON,3,NV,CHURCHILL,89406
FALLS CHURCH,14,VA,['FAIRFAX' 'FALLS CHURCH'],[22041 22042 22046 22044]
FALLS CITY,1,NE,RICHARDSON,68355
FALLSBURG,1,NY,SULLIVAN,12733
FALLSINGTON,1,PA,BUCKS,19054
FALMOUTH,3,['MA' 'ME'],['BARNSTABLE' 'CUMBERLAND'],[2540 4105]
FANWOOD,3,NJ,UNION,7023
FAR HILLS,1,NJ,SOMERSET,7931
FAR ROCKAWAY,13,NY,QUEENS,11691
FARGO,7,ND,CASS,[58103 58102 58104]
FARIBAULT,5,MN,RICE,55021
FARLEY,1,IA,DUBUQUE,52046
FARMERS BRANCH,3,TX,DALLAS,75234
FARMERVILLE,1,LA,UNION,71241
FARMINGDALE,3,['NJ' 'NY'],['MONMOUTH' 'NASSAU'],[ 7727 11735]
FARMINGTN HLS,1,MI,OAKLAND,48334
FARMINGTON,13,['CT' 'NM' 'MO' 'MI' 'MN' 'NY'],['HARTFORD' 'SAN JUAN' 'ST. FRANCOIS' 'OAKLAND' 'DAKOTA' 'ONTARIO'],[ 6032 87402 63640 48336 55024 14425 87401]
FARMINGTON HILLS,9,MI,OAKLAND,[48336 48334]
"FARMINGTON,NM",1,NM,SAN JUAN,87401
FARMVILLE,3,['VA' 'NC'],['CUMBERLAND' 'PRINCE EDWARD' 'PITT'],[23901 27828]
FARRELL,2,PA,MERCER,16121
FAYETTE,1,IA,FAYETTE,52142
FAYETTEVILLE,45,['AR' 'GA' 'NC' 'NY' 'TN'],['WASHINGTON' 'FAYETTE' 'CUMBERLAND' 'ONONDAGA' 'LINCOLN'],"[72703 72701 30214 28304 13066 28306 28303 28301 28312 28314 37334 28311
 30215]"
FEASTERVILLE,1,PA,BUCKS,19053
FEASTERVILLE TREVOSE,4,PA,BUCKS,19053
FEDERAL WAY,10,WA,KING,[98023 98001 98003]
FELTON,2,['CA' 'DE'],['SANTA CRUZ' 'KENT'],[95018 19943]
FENTON,5,['MO' 'MI'],['ST. LOUIS' 'GENESEE'],[63026 48430]
FERGUS FALLS,4,MN,OTTER TAIL,56537
FERGUSON,1,MO,ST. LOUIS,63135
FERNANDINA BEACH,4,FL,NASSAU,32034
FERNDALE,3,['WA' 'MI'],['WHATCOM' 'OAKLAND'],[98248 48220]
FERNLEY,1,NV,LYON,89408
FERRIDAY,1,LA,CONCORDIA,71334
FERRIS,1,TX,ELLIS,75125
FESTUS,3,MO,JEFFERSON,63028
FIFE,1,WA,PIERCE,98424
FILLMORE,1,CA,VENTURA,93015
FINCASTLE,1,VA,BOTETOURT,24090
FINDLAY,4,OH,HANCOCK,45840
FINGER,2,TN,MCNAIRY,38334
FINKSBURG,1,MD,CARROLL,21048
FINLAND,1,MN,LAKE,55603
FISCHER,1,TX,COMAL,78623
FISHERS,10,IN,HAMILTON,[46038 46037]
FISHERSVILLE,1,VA,AUGUSTA,22939
FISHKILL,2,NY,DUTCHESS,12524
FISKDALE,1,MA,WORCESTER,1518
FITCHBURG,9,['MA' 'WI'],['WORCESTER' 'DANE'],[ 1420 53711]
FL,1,FL,DUVAL,32250
FLAGSTAFF,4,AZ,COCONINO,[86004 86001]
FLAGTOWN,1,NJ,SOMERSET,8821
FLANAGAN,1,IL,LIVINGSTON,61740
FLANDERS,2,NJ,MORRIS,7836
FLAT ROCK,4,['NC' 'AL'],['HENDERSON' 'DEKALB'],[28731 35966]
FLEETWOOD,7,['PA' 'NY'],['BERKS' 'WESTCHESTER'],[19522 10552]
FLEMING ISLAND,3,FL,CLAY,32003
FLEMINGTON,7,['MO' 'NJ'],['POLK' 'HUNTERDON'],[65650  8822]
FLETCHER,3,NC,HENDERSON,28732
FLINT,12,['MI' 'TX'],['GENESEE' 'SMITH'],[48507 48505 48532 48506 48503 48504 48502 75762]
FLINT HILL,1,VA,RAPPAHANNOCK,22627
FLINTSTONE,1,MD,ALLEGANY,21530
FLORA,1,MS,MADISON,39071
FLORAL CITY,1,FL,CITRUS,34436
FLORAL PARK,2,NY,['NASSAU' 'QUEENS'],[11001 11004]
FLORENCE,26,['OR' 'KY' 'AL' 'CO' 'SC' 'AZ' 'MA'],['LANE' 'BOONE' 'LAUDERDALE' 'FREMONT' 'FLORENCE' 'PINAL' 'HAMPSHIRE'],[97439 41042 35630 35634 35633 81226 29501 29505 85132 29506  1062]
FLORESVILLE,1,TX,WILSON,78114
FLORHAM PARK,2,NJ,MORRIS,7932
FLORIDA CITY,6,FL,MIAMI-DADE,33034
FLORISSANT,15,MO,ST. LOUIS,[63033 63031 63034]
FLOSSMOOR,3,IL,COOK,60422
FLOURTOWN,3,PA,MONTGOMERY,19031
FLOWER MOUND,13,TX,DENTON,[75077 75028 75022]
FLOWERY BRANCH,2,GA,HALL,30542
FLOWOOD,3,MS,RANKIN,39232
FLOYD,1,VA,FLOYD,24091
FLOYDS KNOBS,1,IN,FLOYD,47119
FLUSHING,28,['NY' 'MI'],['QUEENS' 'GENESEE'],[11355 11366 48433 11367 11358 11375 11354 11365]
FOLCROF,1,PA,DELAWARE,19032
FOLEY,5,['AL' 'MN'],['BALDWIN' 'BENTON'],[36535 56329]
FOLKSTON,1,GA,CHARLTON,31537
FOLSOM,10,['CA' 'PA'],['SACRAMENTO' 'DELAWARE'],[95630 19033]
FOND DU LAC,8,WI,FOND DU LAC,[53049 54935 54937]
"FOND DU LAC,",1,WI,FOND DU LAC,54935
FONDE,1,KY,BELL,40940
FONTANA,9,CA,SAN BERNARDINO,[92336 92335 92337]
FORD CITY,2,PA,ARMSTRONG,16226
FORDS,2,NJ,MIDDLESEX,8863
FORDSVILLE,1,KY,OHIO,42343
FORDVILLE,1,ND,GRAND FORKS,58231
FORDYCE,1,NE,CEDAR,68736
FOREST,1,VA,CAMPBELL,24551
FOREST CITY,1,IA,WINNEBAGO,50436
FOREST GROVE,3,OR,WASHINGTON,97116
FOREST HILL,1,MD,HARFORD,21050
FOREST HILLS,10,NY,QUEENS,11375
FOREST LAKE,1,MN,WASHINGTON,55025
FOREST PARK,8,['IL' 'GA'],['COOK' 'CLAYTON'],[60130 30297]
FORESTON,1,MN,MILLE LACS,56330
FORESTVILLE,4,MD,PRINCE GEORGE'S,20747
FORISTELL,1,MO,ST. CHARLES,63348
FORK,1,MD,BALTIMORE,21051
"FORK UNION,",1,VA,FLUVANNA,23055
FORKED RIVER,1,NJ,OCEAN,8731
FORREST CITY,1,AR,ST. FRANCIS,72335
FORSYTH,4,['MT' 'MO' 'GA'],['ROSEBUD' 'TANEY' 'MONROE'],[59327 65653 31029]
FORT ATKINSON,2,WI,JEFFERSON,53538
FORT BRANCH,1,IN,GIBSON,47648
FORT COLLINS,14,CO,LARIMER,[80525 80521 80526 80524]
FORT DAVIS,1,TX,JEFF DAVIS,79734
FORT DODGE,4,IA,WEBSTER,50501
FORT GIBSON,1,OK,MUSKOGEE,74434
FORT JONES,1,CA,SISKIYOU,96032
FORT LAUDERDALE,33,FL,BROWARD,[33312 33302 33304 33309 33316 33311 33308 33315 33314 33301 33334]
FORT LEE,4,NJ,BERGEN,7024
FORT MADISON,1,IA,LEE,52627
FORT MCCLELLAN,1,AL,CALHOUN,36205
FORT MCDOWELL,1,AZ,MARICOPA,85264
FORT MEADE,2,['FL' 'MD'],['POLK' 'ANNE ARUNDEL'],[33841 20755]
FORT MILL,3,SC,YORK,[29715 29708]
FORT MOHAVE,1,AZ,MOHAVE,86426
FORT MORGAN,2,CO,MORGAN,80701
FORT MYERS,26,FL,LEE,[33912 33966 33901 33919 33907 33908 33916 33905]
FORT PIERCE,12,FL,ST. LUCIE,[34982 34981 34947 34945 34950]
FORT PLAIN,6,NY,MONTGOMERY,13339
FORT SCOTT,2,KS,BOURBON,66701
FORT SHAW,1,MT,CASCADE,59443
FORT SMITH,11,AR,SEBASTIAN,[72901 72903 72904]
FORT THOMAS,2,KY,CAMPBELL,41075
FORT VALLEY,1,GA,PEACH,31030
FORT WALTON BEACH,6,FL,OKALOOSA,[32547 32548]
FORT WASHINGTON,4,PA,MONTGOMERY,19034
FORT WAYNE,29,IN,ALLEN,[46818 46816 46804 46808 46805 46825 46835 46815 46807 46845 46802 46819]
FORT WORTH,56,TX,['TARRANT' 'PARKER'],"[76104 76123 76107 76244 76132 76114 76103 76110 76120 76109 76164 76111
 76135 76116 76102 76108 76133 76105 76119 76179 76182 76112 76137 76134
 76131]"
FORT YATES,1,ND,SIOUX,58538
FORTUNA,2,CA,HUMBOLDT,95540
FORTY FORT,1,PA,LUZERNE,18704
FOSTER CITY,4,CA,SAN MATEO,94404
FOSTORIA,1,OH,HANCOCK,44830
FOUNTAIN CITY,1,IN,WAYNE,47341
FOUNTAIN INN,1,SC,GREENVILLE,29644
FOUNTAIN VALLEY,6,CA,ORANGE,92708
FOWLER,2,['MI' 'IN'],['CLINTON' 'BENTON'],[48835 47944]
FOX LAKE,1,WI,DODGE,53933
FOX POINT,2,WI,MILWAUKEE,53217
FOXBORO,2,MA,NORFOLK,2035
FOXFIELD,1,CO,ARAPAHOE,80016
FRAMINGHAM,12,MA,MIDDLESEX,[1701 1702]
FRANKENMUTH,1,MI,SAGINAW,48734
FRANKFORD,1,DE,SUSSEX,19945
FRANKFORT,9,['KY' 'IL' 'IN'],['FRANKLIN' 'WILL' 'CLINTON'],[40601 60423 46041]
FRANKLIN,32,['IN' 'TN' 'KY' 'LA' 'NJ' 'NC' 'OH' 'PA' 'VA' 'WI' 'MA' 'MI'],"['JOHNSON' 'WILLIAMSON' 'SIMPSON' 'ST. MARY' 'SUSSEX' 'MACON' 'WARREN'
 'VENANGO' 'FRANKLIN' 'MILWAUKEE' 'NORFOLK' 'OAKLAND']","[46131 37067 42134 70538  7416 28734 45005 16323 37069 37065 37064 23851
 53132  2038 48025]"
FRANKLIN FURNACE,1,OH,SCIOTO,45629
FRANKLIN LAKES,3,NJ,BERGEN,7417
FRANKLIN PARK,1,IL,COOK,60131
FRANKLIN SQUARE,1,NY,NASSAU,11010
FRANKLINTON,1,LA,WASHINGTON,70438
FRANKTOWN,3,['VA' 'CO'],['NORTHAMPTON' 'DOUGLAS'],[23354 80116]
FRASER,1,MI,MACOMB,48026
FRAZER,1,MT,VALLEY,59225
FREDERIC,2,WI,POLK,54837
FREDERICK,13,MD,FREDERICK,[21702 21701 21703]
FREDERICKSBURG,46,['VA' 'OH' 'TX'],['STAFFORD' 'SPOTSYLVANIA' 'WAYNE' 'HOLMES' 'GILLESPIE' 'FREDERICKSBURG'],[22406 22408 44627 78624 22405 22407 22401]
FREDERICKTOWN,1,PA,WASHINGTON,15333
FREDIONA,1,PA,MERCER,16124
FREDONIA,6,['PA' 'WI'],['MERCER' 'OZAUKEE'],[16124 53021]
FREE UNION,1,VA,ALBEMARLE,22940
FREEBURG,3,['IL' 'MO'],['ST. CLAIR' 'OSAGE'],[62243 65035]
FREEDOM,2,WI,OUTAGAMIE,[54130 54913]
FREEHOLD,5,NJ,MONMOUTH,7728
FREELAND,1,PA,LUZERNE,18224
FREEMAN,1,SD,HUTCHINSON,57029
FREEPORT,16,['NY' 'ME' 'IL' 'OH' 'MN'],['NASSAU' 'CUMBERLAND' 'STEPHENSON' 'GUERNSEY' 'STEARNS'],[11520  4032 61032 43973 56331]
FREEVILLE,1,NY,TOMPKINS,13068
FREISTATT,1,MO,LAWRENCE,65654
FREMONT,35,['CA' 'MI' 'NE' 'OH' 'WI' 'NH'],['ALAMEDA' 'NEWAYGO' 'DODGE' 'SANDUSKY' 'WAUSHARA' 'ROCKINGHAM'],[94539 94536 94538 49412 68025 43420 54940 94555  3044]
FRENCH CAMP,1,MS,CHOCTAW,39745
FRENCH GULCH,1,CA,SHASTA,96033
FRESH MEADOWS,3,NY,QUEENS,[11365 11366]
FRESNO,26,['CA' 'OH'],['FRESNO' 'TUSCARAWAS' 'COSHOCTON'],[93705 43824 93710 93720 93727 93726 93703 93704]
FRIDAY HARBOR,2,WA,SAN JUAN,98250
FRIDLEY,5,MN,ANOKA,55432
FRIEDENS,2,PA,SOMERSET,15541
FRIENDSWOOD,5,TX,['HARRIS' 'GALVESTON'],77546
FRISCO,14,['TX' 'CO'],['COLLIN' 'SUMMIT' 'DENTON'],[75035 75033 80443 75034]
FROHNA,1,MO,PERRY,63748
FRONT ROYAL,6,VA,WARREN,22630
FROSTBURG,1,MD,SOMERSET,21532
FROSTPROOF,1,FL,POLK,33843
FRUITA,1,CO,MESA,81521
FRUITLAND,1,MD,WICOMICO,21826
FRUITLAND PARK,1,FL,LAKE,34731
FRUITPORT,1,MI,MUSKEGON,49415
FRYBURG,1,PA,CLARION,16326
FRYEBURG,2,ME,OXFORD,4037
FT  M C  DOWELL,1,AZ,MARICOPA,85269
FT MITCHELL,4,KY,KENTON,41017
FT WASHINGTON,3,MD,PRINCE GEORGE'S,20744
FT WRIGHT,1,KY,KENTON,41011
FULDA,1,MN,MURRAY,56131
FULLERTON,12,CA,ORANGE,[92835 92833 92832 92831]
FULTON,7,['MD' 'IL' 'MO' 'NY'],['HOWARD' 'WHITESIDE' 'CALLAWAY' 'OSWEGO'],[20759 61252 65251 13069]
FULTONDALE,1,AL,JEFFERSON,35068
FUQUAY VARINA,3,NC,['HARNETT' 'WAKE'],27526
FURLONG,2,PA,BUCKS,18925
GADSDEN,5,AL,ETOWAH,[35904 35901 35903]
GAFFNEY,2,SC,CHEROKEE,29340
GAHANNA,5,OH,FRANKLIN,43230
GAINESBORO,1,TN,JACKSON,38562
GAINESVILLE,33,['VA' 'FL' 'TX' 'GA' 'AL'],['PRINCE WILLIAM' 'ALACHUA' 'COOKE' 'FORSYTH' 'HALL' 'SUMTER'],[20155 32607 32601 32608 32605 32606 32641 76240 30506 30501 35464]
GAITHERSBURG,14,MD,MONTGOMERY,[20879 20877 20899 20878]
GALAX,1,VA,GALAX,24333
GALENA,1,IL,JO DAVIESS,61036
GALENA PARK,1,TX,HARRIS,77547
GALES FERRY,1,CT,NEW LONDON,6335
GALESBURG,2,IL,KNOX,61401
GALESVILLE,1,WI,TREMPEALEAU,54630
GALION,1,OH,CRAWFORD,44833
GALLATIN,3,TN,SUMNER,37066
GALLAWAY,1,TN,FAYETTE,38036
GALLIPOLIS,1,OH,GALLIA,45631
GALLMAN,1,MS,COPIAH,39077
GALLOWAY,1,OH,FRANKLIN,43119
GALLUP,4,NM,MCKINLEY,[87301 87305]
GALT,5,['CA' 'IL' 'MO'],['SACRAMENTO' 'WHITESIDE' 'GRUNDY'],[95632 61037 64641]
GALVESTON,6,TX,GALVESTON,[77551 77550]
GAMBRILLS,3,MD,ANNE ARUNDEL,21054
GAP,19,PA,['LANCASTER' 'CHESTER'],17527
GAP MILLS,1,WV,MONROE,24941
GARDEN CITY,10,['GA' 'KS' 'MO' 'MI' 'NY'],['CHATHAM' 'FINNEY' 'CASS' 'WAYNE' 'NASSAU'],[31405 67846 64747 48135 11530]
GARDEN GROVE,14,CA,ORANGE,[92840 92841 92843 92845 92844]
"GARDEN VALLEY,",1,ID,BOISE,83622
GARDENA,9,CA,LOS ANGELES,[90247 90248 90249]
GARDENDALE,4,AL,JEFFERSON,35071
GARDNER,3,MA,WORCESTER,[1440 1473]
GARDNERVILLE,3,NV,DOUGLAS,[89410 89460]
GARFIELD,1,NJ,BERGEN,7026
GARFIELD HEIGHTS,4,OH,CUYAHOGA,[44105 44125]
GARLAND,11,['TX' 'UT'],['DALLAS' 'BOX ELDER'],[75041 75044 75040 84312 75043]
GARNER,1,NC,WAKE,27529
GARNERVILLE,2,['NV' 'NY'],['DOUGLAS' 'ROCKLAND'],[89410 10923]
GARNETT,1,KS,ANDERSON,66032
GARRETT,1,IN,DEKALB,46738
GARRETT PARK,1,MD,MONTGOMERY,20896
GARRETTSVILLE,2,OH,GEAUGA,44231
GARY,3,IN,LAKE,[46408 46404 46409]
GASSAWAY,1,WV,BRAXTON,26624
GASTON,2,SC,CALHOUN,29053
GASTONIA,6,NC,GASTON,[28054 28056 28052]
GATES MILLS,2,OH,CUYAHOGA,44040
GAYLORD,3,['MI' 'MN'],['OTSEGO' 'SIBLEY'],[49735 55334]
GAYS,1,IL,MOULTRIE,61928
GEIGERTOWN,1,PA,BERKS,19523
GENESEE,1,PA,POTTER,16923
GENESEE DEPOT,1,WI,WAUKESHA,53127
GENESEO,2,['IL' 'NY'],['HENRY' 'LIVINGSTON'],[61254 14454]
GENESSE,1,PA,POTTER,16923
GENEVA,19,['IL' 'IN' 'NY' 'NE' 'OH'],['KANE' 'ADAMS' 'ONTARIO' 'FILLMORE' 'ASHTABULA'],[60134 46740 14456 68361 44041]
GENOA,2,['OH' 'WI'],['OTTAWA' 'VERNON'],[43430 54632]
GENTRY,3,AR,BENTON,72734
GEORGETOWN,16,['TX' 'IL' 'KY' 'DE' 'SC'],['WILLIAMSON' 'VERMILION' 'SCOTT' 'SUSSEX' 'GEORGETOWN'],[78626 61846 40324 19947 29442 78633 29440]
GERMANTOWN,8,['OH' 'TN' 'MD' 'WI'],['MONTGOMERY' 'SHELBY' 'WASHINGTON'],[45327 38139 38138 20874 53022]
GERVAIS,1,OR,MARION,97026
GETTYSBURG,4,PA,ADAMS,17325
GETZVILLE,1,NY,ERIE,14068
GHENT,2,NY,COLUMBIA,12075
GIBBON,1,MN,SIBLEY,55335
GIBBSTOWN,1,NJ,GLOUCESTER,8027
GIBSONIA,1,PA,ALLEGHENY,15044
GIBSONTON,1,FL,HILLSBOROUGH,33534
GIDDINGS,2,TX,LEE,78942
GIG HARBOR,6,WA,PIERCE,98335
GILBERT,9,AZ,MARICOPA,[85295 85234 85296 85233]
GILBERTVILLE,2,IA,BLACK HAWK,50634
GILLETTE,3,WY,CAMPBELL,[82716 82718]
GILMAN,1,WI,CHIPPEWA,54433
GILROY,5,CA,SANTA CLARA,95020
GIRARD,1,OH,TRUMBULL,44420
GLADE VALLEY,1,NC,ALLEGHANY,28627
GLADSTONE,8,['MO' 'NJ' 'OR'],['CLAY' 'MORRIS' 'SOMERSET' 'CLACKAMAS'],[64118 64119  7934 97027]
GLADWIN,4,MI,GLADWIN,48624
GLADWYNE,2,PA,MONTGOMERY,19035
GLADYS,1,VA,CAMPBELL,24554
GLASGOW,3,['MO' 'KY'],['HOWARD' 'BARREN'],[65254 42141]
GLASSBORO,3,NJ,GLOUCESTER,8028
GLASTONBURY,4,CT,HARTFORD,6033
GLEN ALLEN,2,VA,HENRICO,23059
GLEN ARBOR,1,MI,LEELANAU,49636
GLEN ARM,1,MD,BALTIMORE,21057
GLEN BURNIE,5,MD,ANNE ARUNDEL,[21061 21060]
GLEN CARBON,1,IL,MADISON,62034
GLEN COVE,4,['NY' 'ME'],['NASSAU' 'KNOX'],[11542  4846]
GLEN ELLYN,4,IL,DUPAGE,60137
GLEN HEAD,3,NY,NASSAU,11545
GLEN MILLS,4,PA,DELAWARE,19342
GLEN OAKS,1,NY,QUEENS,11004
GLEN ROCK,3,['PA' 'NJ'],['YORK' 'BERGEN'],[17327  7452]
GLEN SPEY,1,NY,SULLIVAN,12737
GLENARDEN,1,MD,PRINCE GEORGE'S,20706
GLENCOE,2,MN,MCLEOD,55336
GLENDALE,34,['WI' 'AZ' 'CA' 'NY'],['MILWAUKEE' 'MARICOPA' 'LOS ANGELES' 'QUEENS'],"[53212 85306 91205 91201 91202 91204 85308 91214 91206 85301 11385 53217
 53209 85307 85302]"
GLENDALE HEIGHTS,3,IL,DUPAGE,[60137 60139]
GLENDIVE,1,MT,DAWSON,59330
GLENDORA,5,CA,LOS ANGELES,[91740 91741]
GLENMONT,2,NY,ALBANY,12077
GLENMOORE,3,PA,CHESTER,19343
GLENN,1,CA,GLENN,95943
GLENN DALE,3,MD,PRINCE GEORGE'S,20769
GLENN HEIGHTS,1,TX,DALLAS,75154
GLENOLDEN,1,PA,DELAWARE,19036
GLENS FALLS,1,NY,WARREN,12801
GLENSHAW,2,PA,ALLEGHENY,15116
GLENSIDE,3,PA,MONTGOMERY,19038
GLENVIEW,6,IL,COOK,[60026 60025]
GLENWOOD,3,['IL' 'AR'],['COOK' 'PIKE'],[60425 71943]
GLENWOOD SPRINGS,2,CO,GARFIELD,81601
GLOUCESTER,4,['VA' 'MA'],['GLOUCESTER' 'ESSEX'],[23061  1930]
GLOUCESTER CITY,1,NJ,CAMDEN,8030
GLOUESTER,1,MA,ESSEX,1930
GLYNDON,1,MD,BALTIMORE,21071
GOBLES,1,MI,VAN BUREN,49055
GODDARD,1,KS,SEDGWICK,67052
GODFREY,3,IL,MADISON,62035
GOFFSTOWN,4,NH,HILLSBOROUGH,3045
GOLD HILL,1,NC,ROWAN,28071
GOLDEN,3,CO,JEFFERSON,80403
GOLDEN VALLEY,3,MN,HENNEPIN,[55427 55426 55422]
GOLDENDALE,2,WA,KLICKITAT,98620
GOLDSBORO,9,NC,WAYNE,[27530 27534]
GOLETA,4,CA,SANTA BARBARA,93117
GONZALES,4,['LA' 'TX'],['ASCENSION' 'GONZALES'],[70737 78629]
GOOCHLAND,1,VA,GOOCHLAND,23063
GOODHUE,1,MN,GOODHUE,55027
GOODLETTSVILLE,2,TN,DAVIDSON,37072
GOODYEAR,4,AZ,MARICOPA,[85395 85338]
GOOSE CREEK,3,SC,BERKELEY,29445
GORDONVILLE,21,PA,LANCASTER,17529
GOSHEN,18,['IN' 'KY' 'NY' 'OH'],['ELKHART' 'OLDHAM' 'ORANGE' 'WARREN'],[46526 46528 40026 10924 45122]
GOTHA,3,FL,ORANGE,34734
GOTHENBURG,1,NE,DAWSON,69138
GOUVERNEUR,1,NY,ST. LAWRENCE,13642
GOWANDA,1,NY,ERIE,14070
GRABILL,4,IN,ALLEN,46741
GRACEVILLE,1,MN,BIG STONE,56240
GRADY,1,AL,MONTGOMERY,36036
GRAFTON,8,['WI' 'VA' 'MA' 'OH'],['OZAUKEE' 'YORK' 'WORCESTER' 'LORAIN'],[53204 23692  1519 44044 53024]
GRAHAM,3,['NC' 'TX'],['ALAMANCE' 'YOUNG'],[27253 76450]
GRANADA HILLS,9,CA,LOS ANGELES,91344
GRANBURY,3,TX,['HOOD' 'SOMERVELL'],[76049 76048]
GRANBY,1,MA,HAMPSHIRE,1033
GRAND BAY,1,AL,MOBILE,36541
GRAND BLANC,2,MI,GENESEE,48439
GRAND CANE,1,LA,DE SOTO,71032
GRAND COTEAU,2,LA,ST. LANDRY,70541
GRAND FORKS,3,ND,GRAND FORKS,[58201 58203]
