Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
95140,102.0,54.2,-666666666.0,54873.0,13.72549019607843,0.0,1026800.0,1970,4001.0,-666666666.0,0.0,58.73015873015873,-666666666.0,1860.0,30.392156862745097,34.31372549019608,0.0,,,85.29411764705883,14.705882352941176,13.72549019607843,0.0,Los Angeles,Los Angeles County,33.97,-118.25,13788,CA
95148,48273.0,40.3,138763.0,41013.0,6.686967870238021,3.281337393574048,865000.0,1981,3114.0,2769.0,2.4526105753242438,77.56069171932158,40865.0,633880.0,9.16247177511238,18.780684854887827,3.001677956621714,,,22.54055061835809,2.4506452882563754,26.113976757193463,60.8352495183643,Los Angeles,Los Angeles County,33.95,-118.25,12598,CA
95202,6066.0,39.2,14822.0,14840.0,45.8127266732608,4.154302670623146,216900.0,1942,1730.0,607.0,11.059640995946728,63.23103647944412,,,15.661061655126938,5.044510385756676,4.187273326739202,,,52.47279920870425,20.12858555885262,44.04879657105177,12.858555885262115,Los Angeles,Los Angeles County,33.96,-118.27,17127,CA
95203,15487.0,34.4,44922.0,22045.0,25.18241105443275,5.604700716730161,226400.0,1947,1358.0,890.0,2.261064785118666,78.51186658114176,,,18.673726351133208,6.398915219216117,2.879834700071027,,,58.86227158261768,12.391037644476013,57.93891651062181,5.172079808871957,Los Angeles,Los Angeles County,34.08,-118.31,24278,CA
95204,28667.0,37.0,53077.0,29062.0,15.244008790595458,4.16157951651725,244700.0,1953,1563.0,1019.0,1.9047619047619049,84.09863945578232,,,18.659085359472563,8.72780549063383,1.6360274880524646,,,61.68416646318066,7.758049325007849,44.46576202602295,9.96616318414902,Los Angeles,Los Angeles County,34.06,-118.31,16345,CA
95205,38350.0,29.3,36444.0,14808.0,26.83963494132985,4.4198174706649285,161200.0,1959,1142.0,1020.0,0.5478477410174315,80.07826396300248,3770.0,337230.0,18.65449804432855,1.953063885267275,4.378096479791395,,,64.5006518904824,6.85006518904824,71.58279009126467,7.78096479791395,Los Angeles,Los Angeles County,34.05,-118.29,20332,CA
95206,64250.0,30.7,50918.0,18185.0,21.09260700389105,4.252140077821012,236300.0,1990,1486.0,1169.0,1.8527647687125133,78.3748254046504,34340.0,598290.0,16.37976653696498,4.818677042801556,3.561089494163424,,,49.8443579766537,11.603112840466926,61.0739299610895,16.337743190661477,Los Angeles,Los Angeles County,34.03,-118.28,12762,CA
95207,52269.0,32.6,49647.0,24980.0,18.058505041229022,4.046375480686449,269600.0,1972,1675.0,1090.0,2.4318923924167843,77.17237682148253,33840.0,432345.0,15.07968394268113,8.295548030381298,2.203983240544108,,,43.5497139796055,12.594463257380092,39.44402992213358,16.04775297021179,Los Angeles,Los Angeles County,34.01,-118.35,15006,CA
95209,44980.0,35.9,81841.0,29504.0,10.980435749221876,3.930635838150289,312600.0,1986,1824.0,1483.0,1.2815576700951543,79.33006985314339,,,14.079590929301911,9.866607381058248,1.958648288128057,,,42.901289461983104,8.45709204090707,31.947532236549577,23.815028901734102,Los Angeles,Los Angeles County,34.06,-118.3,2382,CA
95210,41509.0,30.8,47142.0,18867.0,21.561589052976466,5.174781372714351,219600.0,1981,1467.0,1137.0,2.036427179245917,76.42986759862895,,,15.358115107567034,5.41328386614951,4.868823628610663,,,31.54978438410947,13.141728299886772,35.63323616565082,32.09665373774362,Los Angeles,Los Angeles County,34.01,-118.26,23547,CA
95211,1624.0,19.6,-666666666.0,1884.0,0.0,1.6009852216748768,-666666666.0,-666666666,-666666666.0,-666666666.0,0.0,21.7687074829932,,,0.0,0.5541871921182266,0.0,,,65.27093596059113,3.3251231527093594,10.591133004926109,27.46305418719212,Los Angeles,Los Angeles County,34.06,-118.24,11370,CA
95212,29426.0,33.6,95759.0,27443.0,7.180724529327805,2.976959151770543,353300.0,2002,1972.0,1711.0,0.4523475276867883,75.63562626735299,,,11.391286617277238,11.761707333650511,3.5954597974580302,,,30.06864677496092,6.959831441582274,26.27268402093387,40.450621899000886,Los Angeles,Los Angeles County,34.05,-118.24,7516,CA
95215,24326.0,38.1,46191.0,18857.0,18.00131546493464,3.551755323522157,234500.0,1968,1479.0,998.0,0.0,82.48601931875953,-666666666.0,186030.0,16.916056893858425,3.095453424319658,3.662747677382225,,,70.53358546411248,4.341034284304859,63.77538436241059,2.561045794623037,Los Angeles,Los Angeles County,34.044,-118.252,4990,CA
95219,29270.0,37.3,83558.0,45076.0,6.566450290399727,2.750256235052955,384500.0,1990,2263.0,1393.0,1.22708243106684,85.78749819546701,,,12.227536727024257,15.473180731124016,1.1274342330030749,,,52.169456781687735,10.645712333447216,24.33208062863,21.20259651520328,Los Angeles,Los Angeles County,34.04,-118.27,8245,CA
95220,7576.0,41.9,85906.0,37833.0,7.444561774023231,1.7687434002111933,514300.0,1975,2167.0,1278.0,1.9785922802465128,79.75997405124879,,,18.09662090813094,7.206969376979937,1.8083421330517424,,,79.34266103484688,0.0,32.19376979936642,3.458289334741288,Los Angeles,Los Angeles County,34.03,-118.36,17204,CA
