City,Population,House Value,Household Income,Poverty Rate,Unemployment Rate,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,College Rate,White Population Rate,Uneducated Rate
Los Angeles,59832.0,359000.0,43360.0,25.49638989169675,3.929335472656773,1853.0,1150.0,11.425132802124834,67.47177954847278,2.7443508490439896,41.8822703569996,3.5465971386549
Los Angeles,53302.0,345900.0,37285.0,31.18832313984466,4.110539942216052,1813.0,1187.0,13.388804841149772,68.21986888552698,2.6152864808074745,42.97399722336873,2.986754718397058
Los Angeles,73730.0,362800.0,40598.0,29.95931099959311,4.002441340024413,1892.0,1212.0,12.446958981612449,69.5001207437817,2.5132239251322392,33.116777431167776,3.754238437542385
Los Angeles,60541.0,1063200.0,49675.0,17.78464181298624,2.6857831882525893,3489.0,1307.0,18.395309272086525,66.07728764126868,18.39084256949836,35.67664888257544,2.1753852760938868
Los Angeles,39732.0,777100.0,38491.0,25.99919460384577,3.289539917446894,3149.0,1235.0,27.870066170006016,52.23728656702605,16.76734118594584,23.336353568911708,2.126749219772476
Los Angeles,59576.0,608600.0,37072.0,26.755740566671143,3.909292332482879,2422.0,1116.0,28.109648260955,53.035959913539,10.312877668859944,33.61252853498053,4.464885188666577
Los Angeles,42433.0,622600.0,27406.0,35.26029269672189,5.974123912992247,2303.0,1182.0,15.868073574352763,47.02761921236234,8.382626729196616,36.81804256121415,2.8421275893761933
Los Angeles,31754.0,701800.0,43364.0,21.036719783334384,5.435535680544184,2641.0,1203.0,9.366702071163038,75.51779075942645,12.395288782515587,17.474963784090193,1.1337154374252063
Los Angeles,3822.0,866000.0,63112.0,11.930926216640502,4.788069073783359,4001.0,1931.0,15.546018121125416,55.93705293276109,32.234432234432234,21.21925693354265,1.8838304552590264
Los Angeles,111165.0,377600.0,40940.0,30.0031484729906,3.824045338011065,1976.0,1178.0,17.325117018078757,58.69369175935071,2.078891737507309,44.67683173660775,4.1128052894346245
Los Angeles,36552.0,533200.0,47027.0,20.195885314073102,3.09969358721821,2731.0,1688.0,11.55339120615428,58.65622132825182,17.388925366601008,27.88903479973736,4.068176843948348
Los Angeles,12559.0,657400.0,22316.0,45.345967035592,5.095947129548531,2565.0,741.0,23.54421279654925,38.71315600287563,23.321920535074447,37.41539931523211,1.0510390954693845
Los Angeles,8688.0,544500.0,40641.0,37.91436464088398,4.696132596685083,2450.0,1710.0,14.828171404327534,44.314806957997455,29.35082872928177,44.97007366482504,0.0
Los Angeles,22651.0,705000.0,43890.0,30.02957926802349,3.739349256103483,3217.0,1375.0,23.40374841168996,43.05908513341805,16.657101231733698,38.69144850116992,2.154430267979339
Los Angeles,45899.0,566600.0,48715.0,16.882720756443497,2.734264363058019,2272.0,1238.0,9.967603071051348,72.47148626458971,11.342295039107606,42.81574761977385,2.8933092224231465
Los Angeles,27723.0,651500.0,35605.0,35.782563214659305,3.1526169606463945,3642.0,1117.0,33.34958217270195,35.32033426183844,14.561916098546334,38.34361360603109,3.94618187064892
Los Angeles,53490.0,586500.0,45984.0,20.392596747055524,4.05122452794915,2303.0,1189.0,13.69561740243122,68.52607165706974,10.03739016638624,28.498784819592448,2.989343802579921
Los Angeles,64534.0,932700.0,56389.0,17.15529798245886,2.476214088697431,3152.0,1407.0,10.157981065293086,71.79361744985756,17.13825270400099,36.60860941519199,2.7241454117209534
Los Angeles,39189.0,633700.0,49068.0,15.379315624282324,2.8528413585444894,2392.0,1376.0,18.440362791121643,64.12652112483478,23.06259409528184,27.31123529561867,1.4493863073821736
Los Angeles,2945.0,888900.0,21635.0,33.446519524618,9.813242784380304,2861.0,647.0,20.85674157303371,24.578651685393258,17.724957555178268,42.54668930390493,3.701188455008489
Los Angeles,67014.0,416900.0,46051.0,19.470558390784014,4.52144328050855,1807.0,1107.0,8.126645420534848,72.5266731328807,4.302086131256155,51.6116035455278,2.860596293311845
Los Angeles,46680.0,427300.0,42972.0,24.75578406169666,3.519708654670094,1853.0,1139.0,12.791878172588833,65.83248730964468,2.8513281919451585,57.68637532133676,3.95458440445587
Los Angeles,51627.0,1184100.0,65855.0,23.38892440002324,3.593081139713716,4001.0,2265.0,4.415011037527594,48.58431711296669,14.414937920080575,59.49600015495768,0.1917601255157185
Los Angeles,46883.0,867400.0,87280.0,11.584156303990786,2.909370134163769,3649.0,2062.0,6.533347293477123,67.14829162740376,32.60670178956125,63.620075507113455,0.7060128404752256
Los Angeles,68906.0,838400.0,65269.0,18.55281107595855,3.9285403303050535,2787.0,1355.0,13.413273118949364,64.01671468244699,21.21150552927176,44.06873131512495,2.880736075232926
Los Angeles,44770.0,1146900.0,66947.0,13.299084208175117,3.899932990842082,3620.0,1468.0,8.915762196266947,65.2833589965073,29.39021666294393,66.17824436006254,2.059414786687514
Los Angeles,29774.0,792800.0,45499.0,20.79666823402969,5.592127359441123,3120.0,1419.0,14.398389904264578,56.33159268929504,28.87754416605092,55.74998320682474,2.649963055014442
Los Angeles,36668.0,719900.0,41998.0,23.19733827860805,4.71528308061525,2827.0,1200.0,20.65298786880336,57.17637661624482,17.404821642849353,35.84324206392495,2.986255045271081
Los Angeles,39916.0,550000.0,48479.0,19.70888866619902,4.4593646657981765,2280.0,1161.0,11.28040630847367,63.66212242715852,10.441928048902696,31.37338410662391,5.5441426996693055
Los Angeles,48031.0,504700.0,57225.0,18.8898836168308,4.432553975557452,2142.0,1205.0,7.429331864904552,70.08535242290749,9.772855031125731,38.18783702192334,3.241656430222148
Los Angeles,49155.0,434200.0,38266.0,29.51276574102329,2.4900823924321025,2088.0,1091.0,14.1991341991342,61.986249045072576,5.275150035601668,56.94232529752823,4.129793510324483
Los Angeles,53861.0,983300.0,75714.0,9.741742633816676,3.1451328419450064,3294.0,1727.0,8.734801559990824,74.3289745354439,26.91186572844916,53.38556655093667,1.457455301609699
Los Angeles,27272.0,1094900.0,89337.0,8.220885890290408,2.148723965972426,3661.0,1921.0,3.6095714478842775,76.30120319048262,26.54737459665591,75.76635376943385,0.83968905837489
