City,ActualHouseValue,RandomForestPredictedHouseValue,Lat,Lng
Portersville,134200.0,164178.0,40.94,-80.15
Prospect,165700.0,176859.0,40.91,-80.08
Renfrew,214300.0,222533.0,40.81,-79.98
Saint Petersburg,100000.0,93259.0,41.16,-79.65
Sarver,192000.0,213286.0,40.72,-79.75
Saxonburg,182200.0,184163.0,40.72,-79.83
Slippery Rock,160500.0,150182.0,41.0,-80.1
Valencia,270800.0,246580.0,40.71,-79.94
West Sunbury,150900.0,144354.0,41.0,-79.9
Zelienople,188200.0,185016.0,40.77,-80.12
Cranberry Twp,279000.0,300643.0,40.71,-80.1
New Castle,82200.0,96443.0,41.0,-80.3
New Castle,85700.0,111015.0,40.96,-80.41
New Castle,133100.0,172861.0,41.06,-80.33
Atlantic,110100.0,100313.0,41.53,-80.29
Bessemer,94200.0,111846.0,40.96,-80.49
Clark,158300.0,178887.0,41.3,-80.4
Clarks Mills,114400.0,130416.0,41.41,-80.19
Darlington,133200.0,152397.0,40.79,-80.44
Edinburg,92400.0,132279.0,41.04,-80.45
Ellwood City,102800.0,120753.0,40.9,-80.3
Enon Valley,116300.0,143611.0,40.89,-80.46
Farrell,60100.0,66502.0,41.2,-80.49
Fombell,192800.0,185679.0,40.83,-80.2
Fredonia,126300.0,111057.0,41.33,-80.26
Greenville,105200.0,111785.0,41.4,-80.4
Grove City,139700.0,137661.0,41.2,-80.1
Hadley,115400.0,111402.0,41.44,-80.2
Hartstown,119200.0,147040.0,41.56,-80.37
Jackson Center,130700.0,117373.0,41.28,-80.11
Jamestown,99300.0,104483.0,41.5,-80.4
Koppel,76200.0,92478.0,40.833,-80.323
Mercer,134500.0,143105.0,41.2,-80.2
New Galilee,83300.0,141492.0,40.87,-80.39
New Wilmington,171700.0,181849.0,41.14,-80.34
Pulaski,122200.0,113881.0,41.11,-80.45
Sandy Lake,134400.0,119536.0,41.38,-80.08
Sharon,64500.0,77970.0,41.23,-80.5
Hermitage,140500.0,156445.0,41.23,-80.44
Sharpsville,103700.0,110358.0,41.3,-80.42
Stoneboro,117400.0,122181.0,41.3,-80.1
Transfer,119600.0,157525.0,41.33,-80.43
Volant,150100.0,160509.0,41.1,-80.2
Wampum,99300.0,117320.0,40.89,-80.33
West Middlesex,125900.0,139713.0,41.15,-80.44
West Pittsburg,77900.0,111750.0,40.934,-80.362
Wheatland,52400.0,73665.0,41.2,-80.49
Kittanning,117800.0,137167.0,40.8,-79.5
Adrian,88600.0,138105.0,40.89,-79.51
Cadogan,65400.0,70189.0,40.754,-79.581
Clarion,127300.0,129669.0,41.2,-79.4
Cowansville,115900.0,140805.0,40.93,-79.6
Dayton,87500.0,111981.0,40.9,-79.3
Fairmount City,87500.0,81117.0,41.07,-79.29
Ford City,87800.0,99384.0,40.7,-79.5
Ford Cliff,81600.0,85235.0,40.761,-79.535
Freeport,148000.0,175059.0,40.72,-79.65
Hawthorn,77900.0,80087.0,41.07,-79.28
Knox,105000.0,105530.0,41.23,-79.54
Leeper,155100.0,131453.0,41.36,-79.27
Lucinda,119300.0,113681.0,41.31,-79.35
Manorville,85000.0,129695.0,40.786,-79.522
Marienville,85900.0,66851.0,41.5,-79.2
Mayport,112500.0,98848.0,41.0,-79.2
New Bethlehem,87900.0,103027.0,41.0,-79.3
Oak Ridge,63300.0,65241.0,41.0,-79.3
Plumville,66900.0,86540.0,40.76,-79.14
Rimersburg,84700.0,87456.0,41.0,-79.5
Rural Valley,111300.0,115016.0,40.76,-79.3
Sagamore,77900.0,50019.0,40.772,-79.236
Shippenville,114100.0,149493.0,41.3,-79.5
Sligo,95800.0,110397.0,41.13,-79.46
Smicksburg,91200.0,86043.0,40.87,-79.13
Strattanville,114400.0,106353.0,41.2,-79.3
Templeton,89600.0,98212.0,40.9,-79.5
Worthington,112700.0,149872.0,40.84,-79.64
Oil City,68000.0,86857.0,41.4,-79.6
Carlton,114300.0,117476.0,41.46,-80.04
Clarendon,70800.0,84672.0,41.7,-79.1
Cochranton,118300.0,130246.0,41.5,-80.1
Conneaut Lake,139200.0,147766.0,41.6,-80.29
Cooperstown,84700.0,94498.0,41.5,-79.8
Cranberry,128300.0,112032.0,41.32,-79.64
Franklin,85200.0,103203.0,41.4,-79.8
Fryburg,117700.0,131937.0,41.36,-79.43
Guys Mills,114200.0,135405.0,41.6,-79.9
Hydetown,70000.0,91571.0,41.7,-79.7
Ludlow,43600.0,69245.0,41.8,-78.87
Meadville,108500.0,124126.0,41.6,-80.2
Pittsfield,95200.0,104428.0,41.8,-79.4
Pleasantville,80400.0,96486.0,41.6,-79.5
Polk,82900.0,110132.0,41.3,-79.9
Rouseville,51000.0,72964.0,41.4,-79.6
Russell,142600.0,159428.0,41.9,-79.1
Seneca,95300.0,105054.0,41.37,-79.67
Sheffield,71800.0,102750.0,41.7,-79.1
Sugar Grove,100800.0,92339.0,42.0,-79.3
Tidioute,88400.0,100595.0,41.7,-79.4
Tiona,68300.0,72606.0,41.8,-79.1
Tionesta,95500.0,93999.0,41.5,-79.4
Titusville,85700.0,100099.0,41.6,-79.7
Townville,114200.0,138260.0,41.68,-79.9
Utica,114100.0,133435.0,41.44,-79.97
Venus,128000.0,98533.0,41.4,-79.5
Warren,96600.0,107669.0,41.8,-79.1
West Hickory,58300.0,89065.0,41.55,-79.43
Youngsville,82600.0,92276.0,41.86,-79.32
Clintonville,62800.0,97959.0,41.204,-79.871
Emlenton,110800.0,111275.0,41.2,-79.7
Kennerdell,112300.0,112144.0,41.3,-79.8
Albion,106500.0,112212.0,41.9,-80.4
Bear Lake,87900.0,100696.0,41.95,-79.47
Cambridge Springs,108700.0,128869.0,41.8,-80.1
Centerville,99800.0,107048.0,41.7,-79.8
Columbus,87300.0,96093.0,41.95,-79.54
Conneautville,114900.0,127019.0,41.7,-80.4
Corry,93000.0,102873.0,41.9,-79.7
Cranesville,108800.0,112782.0,41.92,-80.3
East Springfield,108500.0,101977.0,41.98,-80.45
Edinboro,169200.0,186639.0,41.9,-80.2
Fairview,192000.0,224843.0,42.03,-80.23
Girard,125300.0,117328.0,42.0,-80.3
Grand Valley,75600.0,81038.0,41.7,-79.55
Harborcreek,141700.0,136509.0,42.17,-79.94
Lake City,110100.0,114113.0,42.02,-80.34
Linesville,99500.0,110490.0,41.7,-80.4
Mc Kean,154600.0,146184.0,41.99,-80.13
Mill Village,83800.0,78064.0,41.876,-79.97
North East,152400.0,155128.0,42.2,-79.8
Saegertown,120700.0,126062.0,41.7,-80.1
Spartansburg,98000.0,102846.0,41.8,-79.7
Springboro,111700.0,115477.0,41.8,-80.4
Union City,98500.0,107941.0,41.9,-79.9
Venango,138200.0,130135.0,41.78,-80.13
Waterford,171000.0,182625.0,42.0,-80.0
Wattsburg,139500.0,165290.0,42.0,-79.8
West Springfield,99800.0,107860.0,41.94,-80.47
Erie,72000.0,87200.0,42.11,-80.1
Erie,46800.0,46965.0,42.13,-80.06
Erie,87700.0,101519.0,42.11,-80.05
Erie,146900.0,171585.0,42.12,-80.15
Erie,167200.0,191813.0,42.07,-80.17
Erie,59300.0,67660.0,42.14,-80.09
Erie,95000.0,104986.0,42.09,-80.09
Erie,153600.0,164816.0,42.1,-80.0
Erie,117400.0,141466.0,42.11,-79.96
Erie,122900.0,121422.0,42.17,-79.99
Altoona,101100.0,98504.0,40.6,-78.4
Altoona,93800.0,97042.0,40.51,-78.37
Alexandria,130300.0,105996.0,40.6,-78.1
Ashville,120700.0,111479.0,40.55,-78.54
Bellwood,108900.0,116642.0,40.61,-78.33
Blandburg,59500.0,83579.0,40.684,-78.417
Brisbin,84100.0,100292.0,40.835,-78.351
Broad Top,124600.0,141614.0,40.22,-78.12
Cassville,156000.0,133376.0,40.28,-78.05
Chest Springs,116100.0,110684.0,40.6,-78.6
Claysburg,108800.0,107025.0,40.29,-78.51
Coalport,68700.0,101790.0,40.75,-78.51
Cresson,105600.0,116570.0,40.46,-78.57
Dudley,89300.0,85175.0,40.22,-78.17
Duncansville,156700.0,173306.0,40.4,-78.5
Dysart,118800.0,146292.0,40.6,-78.52
East Freedom,125000.0,128953.0,40.34,-78.47
Fallentimber,93700.0,120567.0,40.68,-78.45
Flinton,109200.0,134379.0,40.7,-78.57
Gallitzin,83900.0,101749.0,40.51,-78.57
Glen Hope,86400.0,133055.0,40.8,-78.5
Hastings,81200.0,99287.0,40.69,-78.71
Hesston,172700.0,189675.0,40.42,-78.1
Hollidaysburg,183300.0,165995.0,40.4,-78.3
Hopewell,113600.0,120337.0,40.11,-78.28
Houtzdale,82400.0,96543.0,40.8,-78.4
Huntingdon,130200.0,128181.0,40.5,-77.9
Imler,128900.0,111473.0,40.3,-78.6
Irvona,63400.0,88102.0,40.81,-78.56
James Creek,157900.0,127580.0,40.3,-78.2
Loysburg,94400.0,94437.0,40.15,-78.38
Madera,58000.0,79333.0,40.83,-78.46
Martinsburg,154300.0,158761.0,40.3,-78.3
New Enterprise,138500.0,122495.0,40.2,-78.4
Newry,148600.0,142752.0,40.392,-78.436
Osceola Mills,86000.0,98146.0,40.87,-78.32
Osterburg,113800.0,112923.0,40.18,-78.53
Patton,85500.0,97184.0,40.6,-78.6
Petersburg,145000.0,149965.0,40.6,-77.9
Ramey,92000.0,95099.0,40.799,-78.398
Riddlesburg,60500.0,103525.0,40.152,-78.256
Roaring Spring,126600.0,130291.0,40.3,-78.4
Robertsdale,70000.0,106336.0,40.19,-78.09
Saxton,92600.0,111529.0,40.2,-78.2
Six Mile Run,74400.0,80203.0,40.16,-78.19
Smithmill,120000.0,124896.0,40.76,-78.4
Spruce Creek,168800.0,112683.0,40.65,-78.08
Tyrone,121300.0,117066.0,40.7,-78.3
Wells Tannery,152800.0,102721.0,40.1,-78.15
Westover,72700.0,83057.0,40.76,-78.72
Williamsburg,114200.0,145231.0,40.5,-78.2
Woodbury,136700.0,110819.0,40.21,-78.36
Bradford,77900.0,96647.0,41.9,-78.7
Austin,76000.0,93209.0,41.6,-78.0
Crosby,52500.0,82807.0,41.62,-78.43
Cyclone,75700.0,98468.0,41.82,-78.58
Duke Center,69800.0,80701.0,41.97,-78.48
Eldred,69500.0,93369.0,41.94,-78.38
Gifford,74700.0,97666.0,41.86,-78.6
Kane,69500.0,100055.0,41.6,-78.7
Lewis Run,85300.0,92311.0,41.8,-78.7
Mount Jewett,60200.0,72910.0,41.73,-78.64
Port Allegany,84500.0,97561.0,41.8,-78.3
Rixford,87500.0,85949.0,41.93,-78.48
Roulette,86900.0,96464.0,41.8,-78.14
Shinglehouse,87400.0,99522.0,41.9,-78.2
Smethport,87100.0,91679.0,41.8,-78.5
Turtlepoint,64100.0,93147.0,41.88,-78.32
State College,269100.0,263231.0,40.8,-77.9
State College,277300.0,297850.0,40.81,-77.89
Aaronsburg,164200.0,155816.0,40.9,-77.3
Beech Creek,112700.0,119243.0,41.1,-77.7
Bellefonte,175700.0,179084.0,40.9,-77.8
Blanchard,164900.0,155707.0,41.065,-77.598
Boalsburg,263200.0,310571.0,40.77,-77.79
Centre Hall,223400.0,256377.0,40.8,-77.7
Clarence,109700.0,95503.0,41.08,-77.96
Clearfield,92200.0,121868.0,41.1,-78.4
Coburn,184800.0,200152.0,40.87,-77.46
Curwensville,90700.0,91928.0,40.9,-78.6
Fleming,121300.0,132958.0,40.9,-77.9
Frenchville,98800.0,110438.0,41.1,-78.3
Grampian,89400.0,99409.0,40.99,-78.63
Howard,148100.0,149086.0,41.0,-77.7
Julian,163000.0,147356.0,40.9,-77.9
Karthaus,88500.0,97859.0,41.1,-78.1
Lamar,122700.0,145520.0,41.012,-77.533
Madisonburg,143300.0,128459.0,40.94,-77.54
Millheim,143000.0,137493.0,40.9,-77.47
Morrisdale,103600.0,121756.0,41.0,-78.2
Moshannon,113800.0,104989.0,41.03,-78.04
Olanta,92500.0,74403.0,40.91,-78.49
Pennsylvania Furnace,188000.0,167559.0,40.72,-77.96
Philipsburg,107300.0,128053.0,40.9,-78.2
Port Matilda,275500.0,283198.0,40.8,-78.1
Rebersburg,144200.0,156216.0,41.0,-77.3
Snow Shoe,121200.0,123423.0,41.0,-77.9
Spring Mills,237600.0,188445.0,40.8,-77.6
Wallaceton,79300.0,80171.0,40.96,-78.291
Warriors Mark,176700.0,173018.0,40.73,-78.06
West Decatur,91400.0,124468.0,40.95,-78.34
Woodward,147700.0,111951.0,40.9,-77.3
Wellsboro,159100.0,162239.0,41.7,-77.3
Blossburg,116400.0,140078.0,41.7,-77.1
Columbia Cross Roads,152700.0,135638.0,41.8,-76.8
Coudersport,119800.0,127763.0,41.8,-78.0
Covington,157200.0,134088.0,41.7,-77.1
Elkland,79500.0,102561.0,41.98,-77.28
Gaines,119100.0,119578.0,41.7,-77.5
Galeton,94200.0,94254.0,41.7,-77.7
Genesee,119400.0,106539.0,41.9,-77.9
Gillett,135000.0,135655.0,41.9,-76.8
Granville Summit,173600.0,112994.0,41.7,-76.7
Harrison Valley,94400.0,106149.0,41.96,-77.67
Knoxville,92600.0,118773.0,41.94,-77.44
Lawrenceville,140800.0,151470.0,42.0,-77.1
Liberty,128800.0,139639.0,41.6,-77.2
Mainesburg,190300.0,165019.0,41.79,-76.95
Mansfield,163000.0,158013.0,41.8,-77.1
Middlebury Center,193100.0,159012.0,41.87,-77.32
Millerton,128800.0,171421.0,41.93,-76.98
Morris,161800.0,145407.0,41.5,-77.3
Morris Run,86000.0,88557.0,41.679,-77.017
Nelson,96300.0,103414.0,41.979,-77.243
Osceola,108900.0,110793.0,41.95,-77.36
Sabinsville,124300.0,112968.0,41.85,-77.61
Tioga,114300.0,129094.0,41.9,-77.1
Troy,144800.0,143307.0,41.8,-76.8
Ulysses,114300.0,113222.0,41.8,-77.8
Westfield,96500.0,100011.0,41.9,-77.5
Allensville,156100.0,103306.0,40.52,-77.8
Annville,176400.0,186861.0,40.4,-76.6
Belleville,152600.0,142791.0,40.6,-77.7
Berrysburg,110500.0,131206.0,40.602,-76.813
Blain,141300.0,124119.0,40.3,-77.6
Boiling Springs,246500.0,242254.0,40.14,-77.11
Burnham,85300.0,123354.0,40.64,-77.56
Camp Hill,192000.0,210088.0,40.24,-76.93
Carlisle,177700.0,181248.0,40.23,-77.2
Carlisle,219400.0,209010.0,40.2,-77.2
Cornwall,113900.0,227474.0,40.3,-76.4
Dalmatia,151900.0,168322.0,40.62,-76.89
Dauphin,187800.0,179322.0,40.4,-76.9
Dillsburg,213400.0,216035.0,40.1,-77.0
Duncannon,166700.0,175573.0,40.4,-77.0
East Waterford,127300.0,135105.0,40.4,-77.7
Elizabethtown,187700.0,201389.0,40.2,-76.6
Elizabethville,131700.0,145501.0,40.59,-76.8
Elliottsburg,175200.0,159987.0,40.41,-77.31
Enola,178400.0,197884.0,40.29,-77.0
Fredericksburg,186600.0,198002.0,40.47,-76.43
Grantham,186900.0,205382.0,40.158,-76.989
Grantville,163500.0,196308.0,40.4,-76.65
Gratz,119200.0,153183.0,40.61,-76.74
Halifax,164000.0,170886.0,40.5,-76.8
Hershey,246000.0,287372.0,40.27,-76.6
Highspire,91400.0,151550.0,40.21,-76.79
Honey Grove,114800.0,104565.0,40.42,-77.58
Hummelstown,219800.0,250883.0,40.29,-76.7
Ickesburg,153700.0,140104.0,40.43,-77.43
Jonestown,176500.0,175614.0,40.5,-76.5
Landisburg,168000.0,164443.0,40.3,-77.3
Lebanon,165900.0,169336.0,40.3,-76.4
Lemoyne,144400.0,180082.0,40.25,-76.9
Lewistown,92500.0,111493.0,40.6,-77.6
Liverpool,161600.0,167409.0,40.6,-77.0
Lebanon,134600.0,133610.0,40.39,-76.44
Loysville,162500.0,172089.0,40.36,-77.41
Lykens,105800.0,126052.0,40.6,-76.72
Mc Alisterville,126400.0,131876.0,40.6,-77.3
Mechanicsburg,255800.0,259590.0,40.25,-77.02
Mc Veytown,121300.0,124247.0,40.5,-77.8
Mapleton Depot,89100.0,129667.0,40.3,-78.0
Marysville,164100.0,188523.0,40.3,-77.0
Mechanicsburg,197600.0,218990.0,40.18,-77.0
Middletown,139200.0,167131.0,40.19,-76.72
Mifflin,113900.0,103243.0,40.49,-77.55
Mifflintown,151000.0,144774.0,40.6,-77.4
Mill Creek,93800.0,108435.0,40.48,-77.88
Millersburg,127500.0,158142.0,40.57,-76.91
Millerstown,168700.0,187856.0,40.6,-77.2
Milroy,97900.0,113965.0,40.8,-77.5
Mount Gretna,269000.0,301221.0,40.247,-76.47
Mount Holly Springs,170000.0,180268.0,40.09,-77.21
Mount Union,78900.0,74597.0,40.38,-77.84
Myerstown,168800.0,167822.0,40.4,-76.3
New Bloomfield,170200.0,177586.0,40.41,-77.17
New Buffalo,128100.0,93040.0,40.4543,-76.9719
New Cumberland,173600.0,189111.0,40.21,-76.87
New Germantown,71900.0,116926.0,40.31,-77.61
Newmanstown,172600.0,175401.0,40.3,-76.26
Newport,157300.0,176540.0,40.5,-77.1
Palmyra,187900.0,210384.0,40.3,-76.6
Pillow,104200.0,93488.0,40.641,-76.803
Plainfield,110200.0,124722.0,40.204,-77.287
Port Royal,145000.0,156133.0,40.5,-77.4
Reedsville,162200.0,139596.0,40.68,-77.63
Richfield,156400.0,130614.0,40.7,-77.2
Richland,172700.0,172706.0,40.41,-76.26
Schaefferstown,156100.0,147543.0,40.2988,-76.2968
Shermans Dale,163400.0,167633.0,40.34,-77.19
Summerdale,144400.0,149189.0,40.312,-76.927
Thompsontown,136600.0,136978.0,40.59,-77.22
Wiconisco,72200.0,99373.0,40.59,-76.71
Williamstown,83700.0,99966.0,40.59,-76.63
Yeagertown,84000.0,109297.0,40.65,-77.56
Harrisburg,141900.0,159424.0,40.27,-76.89
Harrisburg,77900.0,106135.0,40.27,-76.86
Harrisburg,75100.0,79097.0,40.26,-76.85
Harrisburg,152200.0,155781.0,40.29,-76.82
Harrisburg,160900.0,179617.0,40.32,-76.88
Harrisburg,168900.0,200710.0,40.27,-76.79
Harrisburg,204500.0,207797.0,40.4,-76.8
Harrisburg,103100.0,127487.0,40.23,-76.84
Chambersburg,164400.0,154959.0,39.97,-77.67
Chambersburg,198700.0,197036.0,39.9,-77.7
Artemas,141100.0,116444.0,39.76,-78.42
Blairs Mills,122300.0,124980.0,40.2,-77.8
Blue Ridge Summit,188000.0,179820.0,39.75,-77.47
Concord,162500.0,104595.0,40.27,-77.68
Fannettsburg,122500.0,96927.0,40.08,-77.79
Fayetteville,185200.0,184295.0,39.9,-77.5
Fort Littleton,141400.0,145683.0,40.07,-77.95
Fort Loudon,156200.0,112245.0,40.0,-77.9
Greencastle,203000.0,198298.0,39.8,-77.7
Harrisonville,155800.0,129895.0,39.99,-78.1
Hustontown,129900.0,124385.0,40.09,-78.01
Mc Connellsburg,144000.0,151254.0,40.0,-78.0
Marion,154400.0,167588.0,39.859,-77.702
Mercersburg,175300.0,172889.0,39.8,-78.0
Mont Alto,145200.0,152422.0,39.84,-77.55
Needmore,168800.0,152327.0,39.9,-78.1
Newburg,191900.0,166596.0,40.15,-77.58
Newville,165000.0,168515.0,40.2,-77.4
Orbisonia,111300.0,129710.0,40.2,-77.9
Orrstown,169000.0,163872.0,40.09,-77.68
Rockhill Furnace,85400.0,106911.0,40.242,-77.896
Saint Thomas,149300.0,141769.0,39.91,-77.81
Saltillo,92800.0,98741.0,40.215,-78.009
Shade Gap,123200.0,142393.0,40.2,-77.8
Shippensburg,166900.0,168602.0,40.0,-77.5
Shirleysburg,116700.0,105419.0,40.29,-77.89
Spring Run,166200.0,149420.0,40.2,-77.7
Three Springs,125200.0,102768.0,40.2,-78.0
Upperstrasburg,131000.0,121951.0,40.04,-77.79
Walnut Bottom,171600.0,147448.0,40.09,-77.41
Warfordsburg,181600.0,162172.0,39.8,-78.3
Waynesboro,162700.0,176143.0,39.8,-77.6
Abbottstown,178600.0,190399.0,39.89,-76.98
Airville,181400.0,212263.0,39.82,-76.41
Aspers,183300.0,194013.0,39.98,-77.23
Bendersville,158700.0,149814.0,39.97,-77.24
Biglerville,198400.0,202293.0,39.9,-77.3
Brogue,216900.0,222469.0,39.87,-76.45
Codorus,134100.0,142014.0,39.85,-76.87
Dallastown,155000.0,174382.0,39.88,-76.65
Delta,174900.0,206878.0,39.77,-76.33
Dover,154800.0,183809.0,40.0,-76.9
East Berlin,202500.0,224144.0,39.97,-77.0
East Prospect,139300.0,150451.0,39.99,-76.51
Emigsville,130400.0,115922.0,40.0,-76.7
Etters,168800.0,180221.0,40.16,-76.8
Fairfield,218300.0,227392.0,39.78,-77.37
Fawn Grove,226200.0,211217.0,39.76,-76.45
Felton,175700.0,194520.0,39.9,-76.5
Gardners,182000.0,173467.0,40.0,-77.3
Gettysburg,219200.0,216516.0,39.8,-77.2
Glen Rock,224600.0,223584.0,39.8,-76.8
Glenville,248400.0,259915.0,39.76,-76.85
Hanover,174200.0,191949.0,39.8,-77.0
Lewisberry,239400.0,280965.0,40.13,-76.88
Littlestown,205600.0,220207.0,39.76,-77.11
Mc Sherrystown,153900.0,151145.0,39.81,-77.02
Manchester,146600.0,162436.0,40.07,-76.74
Mount Wolf,170400.0,209626.0,40.06,-76.69
New Freedom,271700.0,313192.0,39.77,-76.69
New Oxford,168600.0,177826.0,39.89,-77.08
New Park,221400.0,168379.0,39.76,-76.5
Orrtanna,187400.0,172443.0,39.89,-77.4
Railroad,189800.0,147486.0,39.77,-76.68
Red Lion,173300.0,194637.0,39.9,-76.6
Seven Valleys,205900.0,269354.0,39.86,-76.76
Shrewsbury,226700.0,249430.0,39.77,-76.68
Spring Grove,190200.0,199946.0,39.85,-76.87
Stewartstown,221500.0,255892.0,39.77,-76.58
Thomasville,174100.0,209654.0,39.93,-76.91
Wellsville,201700.0,194074.0,40.05,-76.94
Windsor,143300.0,170389.0,39.93,-76.56
Wrightsville,152600.0,175115.0,39.99,-76.52
York Haven,154500.0,194234.0,40.12,-76.77
York Springs,205300.0,189002.0,40.01,-77.09
York,63000.0,73357.99,39.96,-76.73
York,172200.0,200933.0,39.95,-76.67
York,152600.0,168604.0,39.92,-76.71
York,132000.0,165547.0,40.0,-76.77
York,162500.0,184674.0,40.0,-76.7
York,169000.0,232862.0,39.88,-76.72
York,168200.0,200081.0,39.94,-76.81
Akron,171700.0,193105.0,40.16,-76.2
Bainbridge,177700.0,206414.0,40.1,-76.66
Bird In Hand,355600.0,274661.0,40.07,-76.2
Christiana,230500.0,245070.0,39.91,-76.03
Columbia,141400.0,161200.0,40.04,-76.48
Conestoga,210400.0,220950.0,39.95,-76.39
Denver,193000.0,188601.0,40.2,-76.1
Drumore,212100.0,153142.0,39.81,-76.27
East Earl,229200.0,192609.0,40.14,-76.03
East Petersburg,173500.0,193197.0,40.1,-76.35
Ephrata,178200.0,185294.0,40.17,-76.17
Gap,227800.0,237741.0,40.02,-75.99
Gordonville,269200.0,245342.0,40.04,-76.1
Holtwood,185400.0,190392.0,39.86,-76.3
Kinzers,279700.0,279661.0,40.01,-76.04
Kirkwood,275800.0,258696.0,39.85,-76.07
Landisville,227700.0,259257.0,40.09,-76.41
Leola,221300.0,219060.0,40.1,-76.19
Lititz,220700.0,241158.0,40.2,-76.3
Manheim,192900.0,187563.0,40.2,-76.4
Marietta,163200.0,191745.0,40.08,-76.58
Maytown,173900.0,198824.0,40.075,-76.582
Millersville,168400.0,182826.0,39.98,-76.38
Mount Joy,180400.0,201997.0,40.11,-76.51
Mountville,188600.0,188904.0,40.04,-76.43
Narvon,252200.0,232297.0,40.1,-76.0
New Holland,229500.0,185994.0,40.11,-76.07
New Providence,145100.0,179190.0,39.91,-76.23
Paradise,234700.0,224044.0,39.98,-76.09
Peach Bottom,210200.0,169521.0,39.77,-76.18
Pequea,218200.0,286131.0,39.9,-76.33
Quarryville,217100.0,203805.0,39.9,-76.1
Reinholds,196500.0,199336.0,40.27,-76.11
Ronks,251100.0,230097.0,40.01,-76.17
Stevens,189000.0,192723.0,40.22,-76.17
Strasburg,218100.0,206983.0,39.96,-76.18
Terre Hill,180400.0,186561.0,40.16,-76.049
Washington Boro,226200.0,231809.0,39.99,-76.44
Willow Street,201000.0,201195.0,39.96,-76.26
Lancaster,225800.0,241715.0,40.1,-76.3
Lancaster,164200.0,156936.0,40.01,-76.25
Lancaster,149700.0,155209.0,40.04,-76.31
Williamsport,124000.0,128362.0,41.4,-76.9
Williamsport,141000.0,140376.0,41.2,-77.0
Avis,103400.0,114456.0,41.18,-77.32
Canton,130600.0,106192.0,41.7,-76.9
Cogan Station,163700.0,156207.0,41.4,-77.1
Hughesville,159700.0,156846.0,41.3,-76.7
Jersey Shore,136800.0,141479.0,41.2,-77.3
Linden,146800.0,144177.0,41.25,-77.16
Lock Haven,131300.0,136770.0,41.3,-77.4
Loganton,152000.0,154479.0,41.0,-77.3
Mc Elhattan,53700.0,118745.0,41.2,-77.4
Mc Ewensville,100000.0,91253.0,41.072,-76.819
Mill Hall,137700.0,155514.0,41.1,-77.5
Montgomery,139900.0,141201.0,41.2,-76.9
Montoursville,189400.0,189955.0,41.29,-76.88
Muncy,153300.0,151243.0,41.2,-76.7
Muncy Valley,176700.0,146735.0,41.4,-76.5
North Bend,96800.0,94879.0,41.4,-77.7
Picture Rocks,134100.0,104226.0,41.3,-76.7
Renovo,50000.0,72994.0,41.3,-77.8
Roaring Branch,153600.0,138827.0,41.6,-77.0
Salona,98500.0,78249.0,41.1,-77.5
Trout Run,157300.0,162232.0,41.4,-77.1
Turbotville,161200.0,170257.0,41.12,-76.72
Unityville,162500.0,142623.0,41.24,-76.54
Waterville,152100.0,111300.0,41.4,-77.3
Watsontown,159700.0,149755.0,41.11,-76.81
Westport,85000.0,100268.0,41.31,-77.98
Sunbury,118600.0,119357.0,40.8,-76.7
Allenwood,155000.0,147916.0,41.1,-77.0
Beaver Springs,115700.0,96775.0,40.75,-77.24
Beavertown,125600.0,133692.0,40.78,-77.19
Benton,153100.0,151015.0,41.3,-76.4
Bloomsburg,158200.0,158543.0,41.0,-76.4
Catawissa,146800.0,139580.0,40.9,-76.4
Danville,175700.0,164086.0,41.0,-76.7
Dornsife,171400.0,152383.0,40.7,-76.7
Elysburg,199800.0,168179.0,40.86,-76.49
Freeburg,137900.0,133609.0,40.762,-76.941
Hartleton,113900.0,115385.0,40.9,-77.155
Herndon,135300.0,137652.0,40.7,-76.8
Kulpmont,86700.0,89296.0,40.79,-76.46
Laurelton,96300.0,102661.0,40.89,-77.27
Leck Kill,129200.0,162693.0,40.72,-76.58
Lewisburg,196300.0,193972.0,41.0,-77.0
Mc Clure,116300.0,137461.0,40.7,-77.4
Middleburg,152900.0,148432.0,40.8,-77.0
Mifflinburg,166100.0,160424.0,41.0,-77.1
Millmont,153200.0,134630.0,40.9,-77.2
Millville,171200.0,152415.0,41.15,-76.52
Milton,134800.0,153501.0,41.0,-76.79
Montandon,28600.0,94656.0,40.968,-76.855
Mount Carmel,44900.0,73497.0,40.8,-76.44
Mount Pleasant Mills,163900.0,137232.0,40.7,-77.0
New Berlin,141400.0,154862.0,40.89,-76.97
New Columbia,147700.0,148598.0,41.1,-77.0
Northumberland,139500.0,148810.0,40.9,-76.8
Orangeville,154300.0,174387.0,41.11,-76.39
Paxinos,171000.0,171328.0,40.8,-76.6
Penns Creek,131900.0,110440.0,40.8,-77.0
Port Trevorton,168300.0,143750.0,40.71,-76.91
Coal Township,69200.0,78501.0,40.79,-76.56
Rebuck,211400.0,123719.0,40.71,-76.69
Riverside,166900.0,187682.0,40.957,-76.629
Selinsgrove,162300.0,159431.0,40.82,-76.88
Shamokin,50200.0,90525.0,40.8,-76.6
Shamokin Dam,156000.0,145076.0,40.85,-76.83
Stillwater,175900.0,141977.0,41.17,-76.33
Trevorton,74900.0,93835.0,40.79,-76.66
Washingtonville,65000.0,78494.0,41.052,-76.676
West Milton,126400.0,157225.0,41.02,-76.88
