City,ActualHouseValue,RandomForestPredictedHouseValue,Lat,Lng
Hampden,275200.0,279227.0,42.07,-72.42
Hatfield,291400.0,256232.0,42.39,-72.61
Haydenville,263200.0,302560.0,42.37,-72.7
Holyoke,182700.0,169092.0,42.22,-72.64
Huntington,211500.0,204361.0,42.3,-72.9
Leeds,277800.0,239942.0,42.35,-72.71
Leverett,348500.0,347732.0,42.47,-72.49
Ludlow,224700.0,222590.0,42.19,-72.46
Monson,232200.0,228249.0,42.1,-72.33
Northampton,322800.0,299296.0,42.33,-72.63
Florence,321800.0,294898.0,42.33,-72.69
Oakham,278200.0,281982.0,42.35,-72.05
Palmer,197100.0,231330.0,42.19,-72.31
Plainfield,239000.0,206533.0,42.52,-72.93
Russell,216500.0,225987.0,42.17,-72.85
Shutesbury,276600.0,276567.0,42.46,-72.42
Southampton,319800.0,293293.0,42.23,-72.74
South Hadley,232700.0,202779.0,42.26,-72.58
Southwick,290200.0,272984.0,42.05,-72.77
Thorndike,180500.0,169945.0,42.19,-72.31
Three Rivers,160000.0,166569.0,42.18,-72.37
Wales,194000.0,171480.0,42.06,-72.23
Ware,186400.0,178409.0,42.3,-72.3
Warren,212100.0,192716.0,42.22,-72.18
Westfield,222100.0,221143.0,42.2,-72.8
West Hatfield,240800.0,277709.0,42.39,-72.65
West Springfield,213800.0,215519.0,42.12,-72.64
West Warren,215300.0,199179.0,42.21,-72.25
Wheelwright,188900.0,202267.0,42.35,-72.142
Wilbraham,299900.0,307227.0,42.13,-72.43
Williamsburg,274700.0,232345.0,42.4,-72.8
Worthington,270900.0,264632.0,42.4,-72.95
Springfield,118000.0,130029.0,42.103,-72.591
Springfield,134800.0,132858.0,42.13,-72.57
Springfield,139100.0,163305.0,42.1,-72.58
Longmeadow,327600.0,370731.0,42.05,-72.57
Springfield,169500.0,149142.0,42.12,-72.6
Springfield,153700.0,156898.0,42.08,-72.56
Springfield,130000.0,140985.0,42.12,-72.55
Springfield,160500.0,179477.0,42.1,-72.52
Springfield,148800.0,163573.0,42.12,-72.51
Springfield,167500.0,216429.0,42.1,-72.49
Springfield,167400.0,190756.0,42.12,-72.49
Indian Orchard,136200.0,142015.0,42.15,-72.51
Pittsfield,174600.0,174189.0,42.5,-73.3
Adams,152000.0,152450.0,42.63,-73.13
Ashley Falls,246100.0,213348.0,42.06,-73.32
Becket,256300.0,214497.0,42.3,-73.1
Berkshire,184000.0,123748.0,42.516,-73.193
Cheshire,192600.0,175533.0,42.56,-73.15
Dalton,185800.0,235205.0,42.48,-73.15
Great Barrington,334300.0,268998.0,42.2,-73.3
Hinsdale,191100.0,222612.0,42.4,-73.1
Housatonic,313200.0,244529.0,42.28,-73.37
Lanesboro,246500.0,241265.0,42.56,-73.23
Lee,266400.0,226538.0,42.3,-73.22
Lenox,361700.0,410819.0,42.37,-73.28
Monterey,428700.0,391406.0,42.19,-73.23
North Adams,153300.0,138630.0,42.7,-73.1
Otis,248800.0,242690.0,42.2,-73.1
Richmond,456300.0,411960.0,42.38,-73.37
Sandisfield,296500.0,234225.0,42.11,-73.12
